Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
Software Vulnerability Detection Using Deep Neural Networks: A Survey,G. Lin; S. Wen; Q. -L. Han; J. Zhang; Y. Xiang,Proceedings of the IEEE,2020,108,10,1825,1848,,10.1109/JPROC.2020.2993293,Cybersecurity;deep neural network (DNN);machine learning (ML);representation learning;software vulnerability,IEEE
The Image Game: Exploit Kit Detection Based on Recursive Convolutional Neural Networks,S. Yoo; S. Kim; B. B. Kang,IEEE Access,2020,8,,18808,18821,,10.1109/ACCESS.2020.2967746,Exploit kit;image processing;ConvNet;image classification,IEEE
Systematic Mapping of the Literature on Secure Software Development,H. Nina; J. A. Pow-Sang; M. Villavicencio,IEEE Access,2021,9,,36852,36867,,10.1109/ACCESS.2021.3062388,Software development;security;requirements;design;construction;testing;vulnerability;systematic mapping review,IEEE
Automatic and Accurate Expansion of Abbreviations in Parameters,Y. Jiang; H. Liu; J. Zhu; L. Zhang,IEEE Transactions on Software Engineering,2020,46,7,732,747,,10.1109/TSE.2018.2868762,Abbreviation;expansion;comprehension;lexical similarity;quality;information retrieval,IEEE
Lightweight Assessment of Test-Case Effectiveness Using Source-Code-Quality Indicators,G. Grano; F. Palomba; H. C. Gall,IEEE Transactions on Software Engineering,2021,47,4,758,774,,10.1109/TSE.2019.2903057,Automated software testing;mutation testing;software quality,IEEE
Flow Misleading: Worm-Hole Attack in Software-Defined Networking via Building In-Band Covert Channel,J. Hua; Z. Zhou; S. Zhong,IEEE Transactions on Information Forensics and Security,2021,16,,1029,1043,,10.1109/TIFS.2020.3013093,Software-defined network (SDN);worm-hole attack;security,IEEE
Autonomous Vehicle Source Enumeration Exploiting Non-Cooperative UAV in Software Defined Internet of Vehicles,L. Wan; L. Sun; K. Liu; X. Wang; Q. Lin; T. Zhu,IEEE Transactions on Intelligent Transportation Systems,2021,22,6,3603,3615,,10.1109/TITS.2020.3018377,Software defined internet of vehicles (SDN-IoV);non-cooperative UAV;autonomous vehicle;source enumeration;color noise,IEEE
Structure-Exploiting Discriminative Ordinal Multioutput Regression,Q. Tian; M. Cao; S. Chen; H. Yin,IEEE Transactions on Neural Networks and Learning Systems,2021,32,1,266,280,,10.1109/TNNLS.2020.2978508,Discriminative least-squares regression (LSR);least-squares regression;multioutput regression;ordinal multioutput regression;structure-exploiting,IEEE
Large Scale Characterization of Software Vulnerability Life Cycles,M. Shahzad; M. Z. Shafiq; A. X. Liu,IEEE Transactions on Dependable and Secure Computing,2020,17,4,730,744,,10.1109/TDSC.2019.2893950,Vulnerability;disclosure;patch;exploit;diversity,IEEE
Exploiting Natural Language Structures in Software Informal Documentation,A. Di Sorbo; S. Panichella; C. A. Visaggio; M. D. Penta; G. Canfora; H. C. Gall,IEEE Transactions on Software Engineering,2021,47,8,1587,1604,,10.1109/TSE.2019.2930519,Mining unstructured data;natural language processing;empirical study,IEEE
Testing Method for Software With Randomness Using Genetic Algorithm,X. Yao; D. Gong; B. Li; X. Dang; G. Zhang,IEEE Access,2020,8,,61999,62010,,10.1109/ACCESS.2020.2983762,Software testing;genetic algorithm;adequacy criterion;test data generation;software with randomness,IEEE
Exploiting the Largest Available Zone: A Proactive Approach to Adaptive Random Testing by Exclusion,J. Chen; Q. Bao; T. H. Tse; T. Y. Chen; J. Xi; C. Mao; M. Yu; R. Huang,IEEE Access,2020,8,,52475,52488,,10.1109/ACCESS.2020.2977777,Software testing;random testing;adaptive random testing;restricted random testing;exclusion zone;largest available zone,IEEE
Verifying Rule Enforcement in Software Defined Networks With REV,P. Zhang; H. Wu; D. Zhang; Q. Li,IEEE/ACM Transactions on Networking,2020,28,2,917,929,,10.1109/TNET.2020.2977006,Software-defined networks;rule enforcement verification;compressive MAC,IEEE
Establishing Trusted I/O Paths for SGX Client Systems With Aurora,H. Liang; M. Li; Y. Chen; L. Jiang; Z. Xie; T. Yang,IEEE Transactions on Information Forensics and Security,2020,15,,1589,1600,,10.1109/TIFS.2019.2945621,Trusted path;hardware trust;Intel SGX;system security,IEEE
Fast Longest Prefix Matching by Exploiting SIMD Instructions,Y. Ueno; R. Nakamura; Y. Kuga; H. Esaki,IEEE Access,2020,8,,167027,167041,,10.1109/ACCESS.2020.3023156,IP routing;longest prefix matching (LPM);single-instruction multiple-data (SIMD);software middlebox,IEEE
<italic>MLSNet:</italic> A Policy Complying Multilevel Security Framework for Software Defined Networking,S. Achleitner; Q. Burke; P. McDaniel; T. Jaeger; T. L. Porta; S. Krishnamurthy,IEEE Transactions on Network and Service Management,2021,18,1,729,744,,10.1109/TNSM.2020.3045998,Software-defined networks;security services;security management,IEEE
Self-Forming Multiple Sub-Nets Based Protocol for Tactical Networks Consisting of SDRs,Rukaiya; S. A. Khan,IEEE Access,2020,8,,88042,88059,,10.1109/ACCESS.2020.2992599,Tactical networks;time critical applications;software-defined radios;virtual sub-nets,IEEE
Sway: Traffic-Aware QoS Routing in Software-Defined IoT,N. Saha; S. BERA; S. Misra,IEEE Transactions on Emerging Topics in Computing,2021,9,1,390,401,,10.1109/TETC.2018.2847296,Software-defined networking;internet of things;quality-of-service;routing,IEEE
"Adaptive Test Case Allocation, Selection and Generation Using Coverage Spectrum and Operational Profile",A. Bertolino; B. Miranda; R. Pietrantuono; S. Russo,IEEE Transactions on Software Engineering,2021,47,5,881,898,,10.1109/TSE.2019.2906187,Software testing;reliability;operational testing;random testing;sampling,IEEE
ARJA: Automated Repair of Java Programs via Multi-Objective Genetic Programming,Y. Yuan; W. Banzhaf,IEEE Transactions on Software Engineering,2020,46,10,1040,1067,,10.1109/TSE.2018.2874648,Program repair;patch generation;genetic programming;multi-objective optimization;genetic improvement,IEEE
From Cloud to Edge: Seamless Software Migration at the Era of the Web of Things,C. Aguzzi; L. Gigli; L. Sciullo; A. Trotta; M. Di Felice,IEEE Access,2020,8,,228118,228135,,10.1109/ACCESS.2020.3045632,Web of things (WoT);edge/cloud computing;service migration;software architecture;performance evaluation,IEEE
Adaptive software defined networking control of space division multiplexing super-channels exploiting the spatial-mode dimension,R. Munoz; N. Yoshikane; R. Vilalta; J. M. Fabrega; L. Rodriguez; D. Soma; S. Beppu; S. Sumita; R. Casellas; R. Martinez; T. Tsuritani; I. Morita,IEEE/OSA Journal of Optical Communications and Networking,2020,12,1,A58,A69,,10.1364/JOCN.12.000A58,,IEEE
